certificate_id,equipment_number,equipment_name,certification_standard,certificate_description,issuing_body,certificate_number,issue_date,expiry_date,days_to_expiry,status,renewal_required,document_ref
CERT-9002,CP-001,Crude Transfer Pump A,API 610,Centrifugal Pump Compliance,Intertek,API610-737712,2018-03-23,2028-03-20,705,Valid,No,DOC-68951.pdf
CERT-9001,CP-001,Crude Transfer Pump A,ASME B73.1,Pump Design Certification,ABS Group,ASMEB73.1-533289,2023-03-28,2028-03-26,711,Valid,No,DOC-77047.pdf
CERT-9003,CP-001,Crude Transfer Pump A,ATEX/IECEx,Hazardous Area Certification,Bureau Veritas,ATEX-IECEx-155452,2024-05-04,2027-05-04,384,Valid,No,DOC-33202.pdf
CERT-9005,CP-002,Crude Transfer Pump B,API 610,Centrifugal Pump Compliance,Intertek,API610-931620,2018-03-12,2028-03-09,694,Valid,No,DOC-61726.pdf
CERT-9004,CP-002,Crude Transfer Pump B,ASME B73.1,Pump Design Certification,ABS Group,ASMEB73.1-900684,2023-05-08,2028-05-06,752,Valid,No,DOC-96619.pdf
CERT-9006,CP-002,Crude Transfer Pump B,ATEX/IECEx,Hazardous Area Certification,ABS Group,ATEX-IECEx-775250,2018-06-22,2028-06-19,796,Valid,No,DOC-44744.pdf
CERT-9008,CP-003,Water Injection Pump,API 610,Centrifugal Pump Compliance,ABS Group,API610-191540,2021-02-07,2031-02-05,1757,Valid,No,DOC-77226.pdf
CERT-9007,CP-003,Water Injection Pump,ASME B73.1,Pump Design Certification,Intertek,ASMEB73.1-434735,2026-03-06,2031-03-05,1785,Valid,No,DOC-90409.pdf
CERT-9009,CP-003,Water Injection Pump,ATEX/IECEx,Hazardous Area Certification,Lloyd's Register,ATEX-IECEx-901686,2024-02-01,2027-01-31,291,Valid,No,DOC-69203.pdf
CERT-9011,CP-004,Seawater Lift Pump,API 610,Centrifugal Pump Compliance,TÜV Rheinland,API610-327583,2026-03-30,2029-03-29,1079,Valid,No,DOC-96617.pdf
CERT-9010,CP-004,Seawater Lift Pump,ASME B73.1,Pump Design Certification,TÜV Rheinland,ASMEB73.1-311005,2024-02-07,2029-02-05,1027,Valid,No,DOC-29215.pdf
CERT-9012,CP-004,Seawater Lift Pump,ATEX/IECEx,Hazardous Area Certification,TÜV Rheinland,ATEX-IECEx-677619,2024-02-25,2029-02-23,1045,Valid,No,DOC-24057.pdf
CERT-9053,CV-001,Separator Level Control Valve,API 6D,Pipeline Valve Certification,Intertek,API6D-695533,2024-02-05,2027-02-04,295,Valid,No,DOC-87092.pdf
CERT-9052,CV-001,Separator Level Control Valve,ISA/IEC 61511,Safety Instrumented System,DNV GL,ISA-IEC61511-889886,2021-04-22,2031-04-20,1831,Valid,No,DOC-62701.pdf
CERT-9054,CV-001,Separator Level Control Valve,SIL 2/SIL 3,Safety Integrity Level Cert,Bureau Veritas,SIL2-SIL3-509649,2024-02-06,2027-02-05,296,Valid,No,DOC-32307.pdf
CERT-9056,CV-002,Compressor Anti-Surge Valve,API 6D,Pipeline Valve Certification,DNV GL,API6D-144538,2020-03-07,2030-03-05,1420,Valid,No,DOC-73842.pdf
CERT-9055,CV-002,Compressor Anti-Surge Valve,ISA/IEC 61511,Safety Instrumented System,TÜV Rheinland,ISA-IEC61511-837753,2020-04-05,2030-04-03,1449,Valid,No,DOC-88800.pdf
CERT-9057,CV-002,Compressor Anti-Surge Valve,SIL 2/SIL 3,Safety Integrity Level Cert,Lloyd's Register,SIL2-SIL3-596266,2025-05-23,2030-05-22,1498,Valid,No,DOC-48001.pdf
CERT-9048,EM-001,Pump Drive Motor A,ATEX/IECEx,Hazardous Area Certification,Bureau Veritas,ATEX-IECEx-116892,2023-01-05,2028-01-04,629,Valid,No,DOC-51340.pdf
CERT-9047,EM-001,Pump Drive Motor A,IEEE 841,Severe Duty Motor Cert,Bureau Veritas,IEEE841-598343,2024-02-12,2027-02-11,302,Valid,No,DOC-12389.pdf
CERT-9046,EM-001,Pump Drive Motor A,NEMA MG-1,Motor Standards Certification,DNV GL,NEMAMG-1-796488,2023-02-17,2028-02-16,672,Valid,No,DOC-84304.pdf
