work_order,equipment_number,order_type,order_type_desc,activity_type,priority,status,short_text,created_date,scheduled_start,actual_start,actual_finish,downtime_hours,total_cost_usd,functional_location,planner_group,work_center
WO-4000122,CV-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Separator Level Control Valve,2026-03-13,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T02:00:00Z,2.4,2107.27,OG-FIELD-PROCESSING,MNT-01,MECH-01
WO-4000089,GT-001,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine A,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T04:00:00Z,3.9,1444.95,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000128,CV-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Compressor Anti-Surge Valve,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T05:00:00Z,1.5,1344.5,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000143,FP-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Fire Water Pump,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T02:00:00Z,0.0,498.56,OG-FIELD-SAFETY-SYSTEMS,MNT-01,INSP-01
WO-4000024,CP-004,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Seawater Lift Pump,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T04:00:00Z,3.4,2462.22,OG-FIELD-UTILITIES,MNT-01,MECH-01
WO-4000097,GT-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Power Gen Turbine B,2026-03-14,2026-03-17,2026-03-17T00:00:00Z,2026-03-17T07:00:00Z,2.9,3408.2,OG-FIELD-POWER-GEN,MNT-01,MECH-01
WO-4000019,CP-003,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Water Injection Pump,2026-03-15,2026-03-19,2026-03-19T00:00:00Z,2026-03-19T03:00:00Z,2.7,4233.87,OG-FIELD-INJECTION,MNT-01,MECH-01
WO-4000008,CP-001,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Crude Transfer Pump A,2026-03-16,2026-03-19,2026-03-19T00:00:00Z,2026-03-19T01:00:00Z,0.0,730.78,OG-FIELD-PRODUCTION,MNT-01,INSP-01
WO-4000106,GT-002,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Power Gen Turbine B,2026-03-16,2026-03-19,2026-03-19T00:00:00Z,2026-03-19T01:00:00Z,0.0,532.12,OG-FIELD-POWER-GEN,MNT-01,INSP-01
WO-4000058,HX-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Gas Cooler,2026-03-16,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T06:00:00Z,1.8,4880.58,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000039,GC-002,PM02,Preventive Maintenance,Scheduled,3-Normal,TECO,Scheduled PM - Booster Compressor A,2026-03-16,2026-03-18,2026-03-18T00:00:00Z,2026-03-18T05:00:00Z,1.1,2126.12,OG-FIELD-COMPRESSION,MNT-01,MECH-01
WO-4000088,SP-003,PM04,Inspection,Routine,3-Normal,TECO,Routine inspection - Test Separator,2026-03-17,2026-03-20,2026-03-20T00:00:00Z,2026-03-20T02:00:00Z,0.0,631.55,OG-FIELD-WELL-TESTING,MNT-01,INSP-01
