spec_id,equipment_number,equipment_name,equipment_type,manufacturer,task_name,frequency,interval_days,estimated_duration_hrs,last_performed_date,next_due_date,overdue,oem_notes,skill_required,requires_shutdown,oem_manual_ref
OEM-0001,CP-001,Crude Transfer Pump A,Centrifugal Pump,Sulzer,Bearing lubrication,Weekly,7,0.5,2026-04-09,2026-04-16,No,Grease bearings per OEM spec — do not over-lubricate,Multi-discipline,No,MAN-CEN-796-08
OEM-0002,CP-001,Crude Transfer Pump A,Centrifugal Pump,Sulzer,Vibration check,Weekly,7,0.25,2026-04-10,2026-04-17,No,Record DE and NDE vibration. Alert if >7.1 mm/s,Multi-discipline,No,MAN-CEN-400-01
OEM-0003,CP-001,Crude Transfer Pump A,Centrifugal Pump,Sulzer,Mechanical seal inspection,Monthly,30,1.0,2026-03-23,2026-04-22,No,"Check for visible leakage, record leakage rate",Multi-discipline,No,MAN-CEN-433-07
OEM-0004,CP-001,Crude Transfer Pump A,Centrifugal Pump,Sulzer,Coupling alignment check,Quarterly,90,2.0,2026-02-08,2026-05-09,No,Laser alignment — thermal growth compensation required,Instrumentation,No,MAN-CEN-860-02
OEM-0005,CP-001,Crude Transfer Pump A,Centrifugal Pump,Sulzer,Impeller clearance check,Annual,365,4.0,2025-12-08,2026-12-08,No,Measure back-pullout clearance per OEM manual,Instrumentation,No,MAN-CEN-482-03
OEM-0006,CP-001,Crude Transfer Pump A,Centrifugal Pump,Sulzer,Full pump overhaul,5-Year,1825,40.0,2026-04-07,2031-04-06,No,"Complete teardown, inspect all wetted parts, replace seals/bearings",Mechanical,Yes,MAN-CEN-660-03
OEM-0007,CP-002,Crude Transfer Pump B,Centrifugal Pump,Sulzer,Bearing lubrication,Weekly,7,0.5,2026-04-14,2026-04-21,No,Grease bearings per OEM spec — do not over-lubricate,Multi-discipline,No,MAN-CEN-549-05
OEM-0008,CP-002,Crude Transfer Pump B,Centrifugal Pump,Sulzer,Vibration check,Weekly,7,0.25,2026-04-11,2026-04-18,No,Record DE and NDE vibration. Alert if >7.1 mm/s,Electrical,No,MAN-CEN-941-12
OEM-0009,CP-002,Crude Transfer Pump B,Centrifugal Pump,Sulzer,Mechanical seal inspection,Monthly,30,1.0,2026-04-06,2026-05-06,No,"Check for visible leakage, record leakage rate",Instrumentation,No,MAN-CEN-572-09
OEM-0010,CP-002,Crude Transfer Pump B,Centrifugal Pump,Sulzer,Coupling alignment check,Quarterly,90,2.0,2026-03-03,2026-06-01,No,Laser alignment — thermal growth compensation required,Multi-discipline,No,MAN-CEN-131-01
OEM-0011,CP-002,Crude Transfer Pump B,Centrifugal Pump,Sulzer,Impeller clearance check,Annual,365,4.0,2025-09-18,2026-09-18,No,Measure back-pullout clearance per OEM manual,Instrumentation,No,MAN-CEN-327-12
OEM-0012,CP-002,Crude Transfer Pump B,Centrifugal Pump,Sulzer,Full pump overhaul,5-Year,1825,40.0,2026-03-10,2031-03-09,No,"Complete teardown, inspect all wetted parts, replace seals/bearings",Instrumentation,Yes,MAN-CEN-252-10
OEM-0013,CP-003,Water Injection Pump,Centrifugal Pump,Flowserve,Bearing lubrication,Weekly,7,0.5,2026-04-09,2026-04-16,No,Grease bearings per OEM spec — do not over-lubricate,Mechanical,No,MAN-CEN-362-14
OEM-0014,CP-003,Water Injection Pump,Centrifugal Pump,Flowserve,Vibration check,Weekly,7,0.25,2026-04-12,2026-04-19,No,Record DE and NDE vibration. Alert if >7.1 mm/s,Mechanical,No,MAN-CEN-448-14
OEM-0015,CP-003,Water Injection Pump,Centrifugal Pump,Flowserve,Mechanical seal inspection,Monthly,30,1.0,2026-04-04,2026-05-04,No,"Check for visible leakage, record leakage rate",Multi-discipline,No,MAN-CEN-163-03
OEM-0016,CP-003,Water Injection Pump,Centrifugal Pump,Flowserve,Coupling alignment check,Quarterly,90,2.0,2026-01-28,2026-04-28,No,Laser alignment — thermal growth compensation required,Mechanical,No,MAN-CEN-531-10
OEM-0017,CP-003,Water Injection Pump,Centrifugal Pump,Flowserve,Impeller clearance check,Annual,365,4.0,2025-05-19,2026-05-19,No,Measure back-pullout clearance per OEM manual,Instrumentation,No,MAN-CEN-487-14
OEM-0018,CP-003,Water Injection Pump,Centrifugal Pump,Flowserve,Full pump overhaul,5-Year,1825,40.0,2026-03-27,2031-03-26,No,"Complete teardown, inspect all wetted parts, replace seals/bearings",Instrumentation,Yes,MAN-CEN-270-01
OEM-0019,CP-004,Seawater Lift Pump,Centrifugal Pump,Flowserve,Bearing lubrication,Weekly,7,0.5,2026-04-14,2026-04-21,No,Grease bearings per OEM spec — do not over-lubricate,Multi-discipline,No,MAN-CEN-671-01
OEM-0020,CP-004,Seawater Lift Pump,Centrifugal Pump,Flowserve,Vibration check,Weekly,7,0.25,2026-04-11,2026-04-18,No,Record DE and NDE vibration. Alert if >7.1 mm/s,Instrumentation,No,MAN-CEN-150-13
OEM-0021,CP-004,Seawater Lift Pump,Centrifugal Pump,Flowserve,Mechanical seal inspection,Monthly,30,1.0,2026-03-19,2026-04-18,No,"Check for visible leakage, record leakage rate",Multi-discipline,No,MAN-CEN-473-10
OEM-0022,CP-004,Seawater Lift Pump,Centrifugal Pump,Flowserve,Coupling alignment check,Quarterly,90,2.0,2026-02-13,2026-05-14,No,Laser alignment — thermal growth compensation required,Multi-discipline,No,MAN-CEN-936-04
OEM-0023,CP-004,Seawater Lift Pump,Centrifugal Pump,Flowserve,Impeller clearance check,Annual,365,4.0,2025-11-05,2026-11-05,No,Measure back-pullout clearance per OEM manual,Electrical,No,MAN-CEN-102-02
OEM-0024,CP-004,Seawater Lift Pump,Centrifugal Pump,Flowserve,Full pump overhaul,5-Year,1825,40.0,2022-04-24,2027-04-23,No,"Complete teardown, inspect all wetted parts, replace seals/bearings",Multi-discipline,Yes,MAN-CEN-519-14
OEM-0025,GC-001,Export Gas Compressor,Gas Compressor,Atlas Copco,Lube oil sample & analysis,Weekly,7,0.5,2026-04-10,2026-04-17,No,Send to lab — flag if particle count >18/16/13 per ISO 4406,Electrical,No,MAN-GAS-710-09
OEM-0026,GC-001,Export Gas Compressor,Gas Compressor,Atlas Copco,Vibration monitoring,Weekly,7,0.25,2026-04-13,2026-04-20,No,Record all measurement points. Alert if >8.0 mm/s,Mechanical,No,MAN-GAS-634-09
OEM-0027,GC-001,Export Gas Compressor,Gas Compressor,Atlas Copco,Valve inspection,Quarterly,90,8.0,2026-04-14,2026-07-13,No,Remove and inspect suction/discharge valve plates,Electrical,Yes,MAN-GAS-356-01
OEM-0028,GC-001,Export Gas Compressor,Gas Compressor,Atlas Copco,Piston ring wear check,6-Month,180,6.0,2025-11-16,2026-05-15,No,Measure ring gap and cylinder bore — compare to limits,Instrumentation,No,MAN-GAS-228-03
OEM-0029,GC-001,Export Gas Compressor,Gas Compressor,Atlas Copco,Intercooler cleaning,Annual,365,16.0,2025-06-07,2026-06-07,No,"Chemical clean, pressure test, verify thermal performance",Mechanical,Yes,MAN-GAS-400-08
OEM-0030,GC-001,Export Gas Compressor,Gas Compressor,Atlas Copco,Major overhaul,3-Year,1095,120.0,2023-09-26,2026-09-25,No,Full teardown — replace all wear parts per OEM schedule,Multi-discipline,Yes,MAN-GAS-417-09
OEM-0031,GC-002,Booster Compressor A,Gas Compressor,Atlas Copco,Lube oil sample & analysis,Weekly,7,0.5,2026-04-11,2026-04-18,No,Send to lab — flag if particle count >18/16/13 per ISO 4406,Multi-discipline,No,MAN-GAS-823-02
OEM-0032,GC-002,Booster Compressor A,Gas Compressor,Atlas Copco,Vibration monitoring,Weekly,7,0.25,2026-04-11,2026-04-18,No,Record all measurement points. Alert if >8.0 mm/s,Mechanical,No,MAN-GAS-220-13
OEM-0033,GC-002,Booster Compressor A,Gas Compressor,Atlas Copco,Valve inspection,Quarterly,90,8.0,2026-03-30,2026-06-28,No,Remove and inspect suction/discharge valve plates,Multi-discipline,Yes,MAN-GAS-374-13
