bulletin_id,equipment_number,equipment_name,manufacturer,title,severity,summary,action_required,issue_date,compliance_deadline,compliance_status
SB-2024-001,CP-001,Crude Transfer Pump A,Sulzer,Impeller Upgrade Advisory for CPT Series Pumps,Advisory,Sulzer recommends upgrading to duplex stainless impellers on CPT series pumps handling >2% sand cut fluids to prevent premature erosion.,"Evaluate sand cut levels. If >2%, schedule impeller replacement at next turnaround.",2024-06-15,2025-06-15,Not Reviewed
SB-2024-001,CP-002,Crude Transfer Pump B,Sulzer,Impeller Upgrade Advisory for CPT Series Pumps,Advisory,Sulzer recommends upgrading to duplex stainless impellers on CPT series pumps handling >2% sand cut fluids to prevent premature erosion.,"Evaluate sand cut levels. If >2%, schedule impeller replacement at next turnaround.",2024-06-15,2025-06-15,Planned
SB-2024-001,CP-003,Water Injection Pump,Sulzer,Impeller Upgrade Advisory for CPT Series Pumps,Advisory,Sulzer recommends upgrading to duplex stainless impellers on CPT series pumps handling >2% sand cut fluids to prevent premature erosion.,"Evaluate sand cut levels. If >2%, schedule impeller replacement at next turnaround.",2024-06-15,2025-06-15,Acknowledged
SB-2024-001,CP-004,Seawater Lift Pump,Sulzer,Impeller Upgrade Advisory for CPT Series Pumps,Advisory,Sulzer recommends upgrading to duplex stainless impellers on CPT series pumps handling >2% sand cut fluids to prevent premature erosion.,"Evaluate sand cut levels. If >2%, schedule impeller replacement at next turnaround.",2024-06-15,2025-06-15,Planned
SB-2024-007,GC-001,Export Gas Compressor,Atlas Copco,Valve Plate Material Recall — ZR Series Compressors,Mandatory,Batch defect identified in valve plate material (lot 2023-Q3). Plates may fatigue prematurely under normal pulsation loads.,Check serial numbers against affected lot list. Replace affected plates within 90 days. Replacement parts provided at no cost.,2024-09-01,2024-12-01,Complied
SB-2024-007,GC-002,Booster Compressor A,Atlas Copco,Valve Plate Material Recall — ZR Series Compressors,Mandatory,Batch defect identified in valve plate material (lot 2023-Q3). Plates may fatigue prematurely under normal pulsation loads.,Check serial numbers against affected lot list. Replace affected plates within 90 days. Replacement parts provided at no cost.,2024-09-01,2024-12-01,Complied
SB-2024-007,GC-003,Vapor Recovery Compressor,Atlas Copco,Valve Plate Material Recall — ZR Series Compressors,Mandatory,Batch defect identified in valve plate material (lot 2023-Q3). Plates may fatigue prematurely under normal pulsation loads.,Check serial numbers against affected lot list. Replace affected plates within 90 days. Replacement parts provided at no cost.,2024-09-01,2024-12-01,Complied
SB-2025-003,GT-001,Power Gen Turbine A,GE,Fuel Nozzle Inspection Interval Reduction — LM2500,Mandatory,Field reports of accelerated fuel nozzle coking on units operating with >5ppm H2S fuel gas. Inspection interval reduced from 8000 to 4000 equivalent operating hours.,"Analyze fuel gas composition. If H2S >5ppm, revise PM schedule to 4000 EOH nozzle inspection.",2025-02-20,2025-08-20,Complied
SB-2025-003,GT-002,Power Gen Turbine B,GE,Fuel Nozzle Inspection Interval Reduction — LM2500,Mandatory,Field reports of accelerated fuel nozzle coking on units operating with >5ppm H2S fuel gas. Inspection interval reduced from 8000 to 4000 equivalent operating hours.,"Analyze fuel gas composition. If H2S >5ppm, revise PM schedule to 4000 EOH nozzle inspection.",2025-02-20,2025-08-20,Overdue
SB-2025-008,CV-001,Separator Level Control Valve,Emerson,Positioner Firmware Update — DVC6200 Series,Recommended,Firmware v12.4 resolves intermittent positioner calibration drift observed in high-vibration installations. Free download from Emerson support portal.,Update firmware during next scheduled outage. No process shutdown required if bypass available.,2025-05-10,,Not Reviewed
SB-2025-008,CV-002,Compressor Anti-Surge Valve,Emerson,Positioner Firmware Update — DVC6200 Series,Recommended,Firmware v12.4 resolves intermittent positioner calibration drift observed in high-vibration installations. Free download from Emerson support portal.,Update firmware during next scheduled outage. No process shutdown required if bypass available.,2025-05-10,,Planned
SB-2025-011,EM-001,Pump Drive Motor A,ABB,Bearing Grease Compatibility Warning — M3BP Series Motors,Mandatory,"Polyurea-based greases (e.g., Mobil SHC 100) found incompatible with factory-installed lithium complex grease. Mixing causes grease hardening and bearing failure.","Verify grease type in use. If polyurea, flush bearings completely and repack with OEM-specified lithium complex grease.",2025-07-01,2025-10-01,Overdue
SB-2025-011,EM-002,Compressor Drive Motor,ABB,Bearing Grease Compatibility Warning — M3BP Series Motors,Mandatory,"Polyurea-based greases (e.g., Mobil SHC 100) found incompatible with factory-installed lithium complex grease. Mixing causes grease hardening and bearing failure.","Verify grease type in use. If polyurea, flush bearings completely and repack with OEM-specified lithium complex grease.",2025-07-01,2025-10-01,In Progress
SB-2025-015,HX-001,Crude-Crude Heat Exchanger,Alfa Laval,Gasket Material Upgrade for Sour Service Heat Exchangers,Advisory,PTFE-lined spiral wound gaskets recommended over standard graphite for H2S service to prevent hydrogen blistering at flange joints.,"At next gasket replacement, upgrade to PTFE-lined spiral wound type. No immediate action required if current gaskets show no leakage.",2025-09-12,,Planned
SB-2025-015,HX-002,Gas Cooler,Alfa Laval,Gasket Material Upgrade for Sour Service Heat Exchangers,Advisory,PTFE-lined spiral wound gaskets recommended over standard graphite for H2S service to prevent hydrogen blistering at flange joints.,"At next gasket replacement, upgrade to PTFE-lined spiral wound type. No immediate action required if current gaskets show no leakage.",2025-09-12,,Acknowledged
SB-2025-015,HX-003,Produced Water Cooler,Alfa Laval,Gasket Material Upgrade for Sour Service Heat Exchangers,Advisory,PTFE-lined spiral wound gaskets recommended over standard graphite for H2S service to prevent hydrogen blistering at flange joints.,"At next gasket replacement, upgrade to PTFE-lined spiral wound type. No immediate action required if current gaskets show no leakage.",2025-09-12,,Not Reviewed
SB-2026-002,FP-001,Fire Water Pump,Ruhrpumpen,Battery Charger Module Recall — DFP Series Fire Pumps,Mandatory,"Charger module PCB revision A through C may fail to detect low battery condition, risking engine start failure during emergency.","Inspect charger module PCB revision. If Rev A-C, replace with Rev D module (warranty replacement, contact distributor).",2026-01-18,2026-04-18,Not Started
SB-2026-004,SP-001,1st Stage Separator,Exterran,Internal Coating Inspection Requirement — HP Separators,Advisory,Units >7 years in sour service should undergo internal coating integrity inspection. Epoxy phenolic coatings may degrade under sustained H2S exposure.,"Schedule internal inspection at next planned entry. If coating degradation >30%, plan recoating at next turnaround.",2026-03-05,,Acknowledged
SB-2026-004,SP-002,2nd Stage Separator,Exterran,Internal Coating Inspection Requirement — HP Separators,Advisory,Units >7 years in sour service should undergo internal coating integrity inspection. Epoxy phenolic coatings may degrade under sustained H2S exposure.,"Schedule internal inspection at next planned entry. If coating degradation >30%, plan recoating at next turnaround.",2026-03-05,,Planned
SB-2026-004,SP-003,Test Separator,Exterran,Internal Coating Inspection Requirement — HP Separators,Advisory,Units >7 years in sour service should undergo internal coating integrity inspection. Epoxy phenolic coatings may degrade under sustained H2S exposure.,"Schedule internal inspection at next planned entry. If coating degradation >30%, plan recoating at next turnaround.",2026-03-05,,Not Reviewed
