warranty_id,equipment_number,equipment_name,equipment_type,manufacturer,purchase_date,installation_date,standard_warranty_start,standard_warranty_end,extended_warranty,extended_warranty_end,warranty_status,coverage_type,exclusions,warranty_provider,total_claims_filed,total_claims_value_usd,contract_ref
WARR-0001,CP-001,Crude Transfer Pump A,Centrifugal Pump,Sulzer,2017-07-24,2018-01-15,2018-01-15,2020-01-15,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Manufacturer Direct,2,26615.42,PO-469229
WARR-0002,CP-002,Crude Transfer Pump B,Centrifugal Pump,Sulzer,2017-10-03,2018-01-15,2018-01-15,2020-01-15,Yes,2023-01-14,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),3,14489.37,PO-466985
WARR-0003,CP-003,Water Injection Pump,Centrifugal Pump,Sulzer,2020-09-17,2021-01-15,2021-01-15,2023-01-15,Yes,2026-01-14,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (HSB),2,29104.58,PO-465053
WARR-0004,CP-004,Seawater Lift Pump,Centrifugal Pump,Sulzer,2013-10-11,2014-01-15,2014-01-15,2016-01-15,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),3,11821.32,PO-490368
WARR-0005,GC-001,Export Gas Compressor,Gas Compressor,Atlas Copco,2019-11-10,2020-01-15,2020-01-15,2022-01-14,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),3,29309.43,PO-465627
WARR-0006,GC-002,Booster Compressor A,Gas Compressor,Atlas Copco,2015-07-31,2016-01-15,2016-01-15,2018-01-14,Yes,2021-01-13,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),2,40421.12,PO-403006
WARR-0007,GC-003,Vapor Recovery Compressor,Gas Compressor,Atlas Copco,2022-10-20,2023-01-15,2023-01-15,2025-01-14,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (HSB),1,21054.07,PO-401316
WARR-0008,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,Alfa Laval,2016-09-12,2017-01-15,2017-01-15,2019-01-15,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (HSB),3,500.72,PO-409249
WARR-0009,HX-002,Gas Cooler,Heat Exchanger,Alfa Laval,2019-10-25,2020-01-15,2020-01-15,2022-01-14,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),3,18278.04,PO-447974
WARR-0010,HX-003,Produced Water Cooler,Heat Exchanger,Alfa Laval,2021-10-12,2022-01-15,2022-01-15,2024-01-15,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),2,4673.06,PO-481925
WARR-0011,SP-001,1st Stage Separator,Three-Phase Separator,Exterran,2016-10-16,2017-01-15,2017-01-15,2019-01-15,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (HSB),1,5754.65,PO-422602
WARR-0012,SP-002,2nd Stage Separator,Three-Phase Separator,Exterran,2016-09-18,2017-01-15,2017-01-15,2019-01-15,Yes,2021-01-14,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),2,8063.93,PO-461904
WARR-0013,SP-003,Test Separator,Three-Phase Separator,Exterran,2018-08-10,2019-01-15,2019-01-15,2021-01-14,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Manufacturer Direct,1,8207.12,PO-457656
WARR-0014,GT-001,Power Gen Turbine A,Gas Turbine,GE,2014-09-29,2015-01-15,2015-01-15,2017-01-14,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),1,12.97,PO-414700
WARR-0015,GT-002,Power Gen Turbine B,Gas Turbine,GE,2018-10-01,2019-01-15,2019-01-15,2021-01-14,Yes,2023-01-14,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Manufacturer Direct,1,34527.19,PO-447218
WARR-0016,EM-001,Pump Drive Motor A,Electric Motor,ABB,2017-08-22,2018-01-15,2018-01-15,2020-01-15,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),3,3025.38,PO-467377
WARR-0017,EM-002,Compressor Drive Motor,Electric Motor,ABB,2015-10-29,2016-01-15,2016-01-15,2018-01-14,Yes,2019-01-14,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Manufacturer Direct,3,39439.95,PO-420128
WARR-0018,CV-001,Separator Level Control Valve,Control Valve,Emerson,2020-10-07,2021-01-15,2021-01-15,2023-01-15,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),1,32767.98,PO-451313
WARR-0019,CV-002,Compressor Anti-Surge Valve,Control Valve,Emerson,2019-09-09,2020-01-15,2020-01-15,2022-01-14,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),3,14013.22,PO-456274
WARR-0020,FP-001,Fire Water Pump,Fire Water Pump,Ruhrpumpen,2011-10-14,2012-01-15,2012-01-15,2014-01-14,No,,Expired,Expired,"Normal wear parts (seals, gaskets, filters), consumables, damage from misoperation",Third-Party (Allianz Engineering),2,16189.3,PO-429469
