failure_id,equipment_number,equipment_name,equipment_type,failure_date,failure_mode,failed_component,root_cause,corrective_action,severity,detection_method,detection_to_failure_hrs,time_to_repair_hrs,total_downtime_hrs,production_loss_bbl,repair_cost_usd,was_predictable,linked_work_order
FL-5110,EM-002,Compressor Drive Motor,Electric Motor,2023-03-24,VFD Fault,VFD,Power supply harmonic distortion exceeded VFD tolerance,"Install line reactor, upgrade VFD firmware",Minor,Visual Inspection,8,16,24,0.0,8076.73,Partially,WO-3871036
FL-5020,CP-004,Seawater Lift Pump,Centrifugal Pump,2023-04-06,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Major,Control Room Alarm,2,16,18,99.93,8948.33,No,WO-3960354
FL-5037,GC-002,Booster Compressor A,Gas Compressor,2023-04-19,Piston Ring Wear,Piston,Normal wear exceeding clearance limits after extended run,"Replace piston rings, verify cylinder liner condition",Moderate,Scheduled Inspection,4,8,12,0.0,15356.76,Partially,WO-3955141
FL-5131,FP-001,Fire Water Pump,Fire Water Pump,2023-04-26,Impeller Corrosion,Impeller,Seawater corrosion on cast iron impeller,"Replace with bronze impeller, add cathodic protection",Critical,Scheduled Inspection,0,8,8,162.52,191167.87,No,WO-3119352
FL-5061,HX-003,Produced Water Cooler,Heat Exchanger,2023-05-04,Gasket Failure,Gasket,Thermal cycling exceeded gasket material limits,Replace gaskets with spiral wound type,Critical,Visual Inspection,0,8,8,91.48,164249.84,Yes,WO-3532615
FL-5057,HX-002,Gas Cooler,Heat Exchanger,2023-05-14,Gasket Failure,Gasket,Thermal cycling exceeded gasket material limits,Replace gaskets with spiral wound type,Moderate,Visual Inspection,2,8,10,0.0,41373.0,Yes,WO-3886468
FL-5026,CP-004,Seawater Lift Pump,Centrifugal Pump,2023-05-22,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Moderate,Oil Analysis,48,8,56,0.0,68611.61,Partially,WO-3426885
FL-5018,CP-003,Water Injection Pump,Centrifugal Pump,2023-06-19,Motor Overload Trip,Motor,Downstream valve partially closed increasing head,"Clear valve blockage, recalibrate protection relay",Minor,Operator Round,2,4,6,0.0,14340.19,No,WO-3826501
FL-5104,EM-001,Pump Drive Motor A,Electric Motor,2023-06-23,Bearing Failure,Bearing,Grease over-lubrication caused overheating,"Replace bearing, retrain lubrication personnel",Minor,Thermography,8,8,16,0.0,29059.05,No,WO-3867401
FL-5089,GT-001,Power Gen Turbine A,Gas Turbine,2023-06-26,Combustion Liner Crack,Combustor,Thermal fatigue from frequent start/stop cycles,"Replace liner segments, reduce start/stop frequency",Critical,Visual Inspection,2,168,170,2493.46,188179.32,Partially,WO-3396631
FL-5045,GC-003,Vapor Recovery Compressor,Gas Compressor,2023-06-27,Piston Ring Wear,Piston,Normal wear exceeding clearance limits after extended run,"Replace piston rings, verify cylinder liner condition",Minor,Operator Round,0,4,4,0.0,62295.07,Partially,WO-3691582
FL-5005,CP-001,Crude Transfer Pump A,Centrifugal Pump,2023-07-08,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Minor,Control Room Alarm,0,8,8,0.0,7283.58,Yes,WO-3279640
FL-5033,GC-002,Booster Compressor A,Gas Compressor,2023-07-14,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Minor,Vibration Monitoring,48,4,52,0.0,63322.38,Yes,WO-3506457
FL-5112,EM-002,Compressor Drive Motor,Electric Motor,2023-07-22,Winding Insulation Failure,Stator,Moisture ingress degraded insulation resistance,"Rewind stator, improve enclosure sealing",Major,Vibration Monitoring,8,8,16,88.26,36524.09,Yes,WO-3824387
FL-5117,CV-001,Separator Level Control Valve,Control Valve,2023-07-23,Positioner Calibration Drift,Positioner,Electronic positioner board component aging,"Recalibrate positioner, schedule replacement",Moderate,Performance Deviation,8,12,20,0.0,42747.57,No,WO-3003911
FL-5053,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2023-07-27,Tube Leak,Tubes,Galvanic corrosion between dissimilar metals,"Plug leaking tubes, plan tube bundle replacement",Minor,Vibration Monitoring,0,72,72,0.0,58846.72,No,WO-3035952
FL-5049,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2023-08-12,Gasket Failure,Gasket,Thermal cycling exceeded gasket material limits,Replace gaskets with spiral wound type,Moderate,Scheduled Inspection,4,24,28,0.0,34158.12,No,WO-3168513
FL-5054,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2023-08-14,Fouling - Shell Side,Shell,Scale buildup from untreated seawater,"Chemical cleaning, improve water treatment",Major,Control Room Alarm,0,16,16,138.97,75809.41,Yes,WO-3555563
FL-5031,GC-001,Export Gas Compressor,Gas Compressor,2023-08-20,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Critical,Control Room Alarm,0,16,16,191.76,182823.4,No,WO-3508853
FL-5022,CP-004,Seawater Lift Pump,Centrifugal Pump,2023-09-02,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in fluid,"Replace seal assembly, install strainer upstream",Major,Oil Analysis,0,4,4,20.02,4706.76,No,WO-3543372
FL-5019,CP-003,Water Injection Pump,Centrifugal Pump,2023-09-30,Bearing Failure,Bearing,Lubrication starvation from blocked oil line,"Replace bearing, flush lube oil system",Critical,Oil Analysis,0,24,24,392.46,129353.01,Partially,WO-3841966
FL-5009,CP-002,Crude Transfer Pump B,Centrifugal Pump,2023-10-31,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Major,Oil Analysis,4,16,20,211.42,61495.28,Partially,WO-3675239
FL-5080,SP-003,Test Separator,Three-Phase Separator,2023-11-06,Pressure Relief Valve Lift,PRV,Downstream restriction caused overpressure condition,"Clear restriction, recertify PRV",Major,Vibration Monitoring,0,24,24,399.74,65866.02,No,WO-3945419
FL-5103,EM-001,Pump Drive Motor A,Electric Motor,2023-11-11,Bearing Failure,Bearing,Grease over-lubrication caused overheating,"Replace bearing, retrain lubrication personnel",Critical,Performance Deviation,0,12,12,126.72,198644.37,No,WO-3031083
FL-5002,CP-001,Crude Transfer Pump A,Centrifugal Pump,2023-11-15,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Moderate,Thermography,2,12,14,0.0,34520.41,Partially,WO-3002810
FL-5096,GT-002,Power Gen Turbine B,Gas Turbine,2023-12-06,Exhaust Temp Spread High,Combustor,Uneven fuel distribution across combustion cans,"Balance fuel nozzle flow, replace worn nozzles",Moderate,Control Room Alarm,8,12,20,0.0,8145.18,Yes,WO-3239612
FL-5084,SP-003,Test Separator,Three-Phase Separator,2023-12-11,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Moderate,Operator Round,0,8,8,0.0,67631.35,Partially,WO-3065724
FL-5027,GC-001,Export Gas Compressor,Gas Compressor,2023-12-17,Bearing Degradation,Bearing,Contaminated lube oil caused accelerated wear,"Replace bearing, upgrade oil filtration",Critical,Visual Inspection,0,12,12,135.63,189773.59,No,WO-3523303
FL-5014,CP-003,Water Injection Pump,Centrifugal Pump,2024-01-07,Motor Overload Trip,Motor,Downstream valve partially closed increasing head,"Clear valve blockage, recalibrate protection relay",Major,Control Room Alarm,0,12,12,131.82,6124.34,Partially,WO-3033212
FL-5136,FP-001,Fire Water Pump,Fire Water Pump,2024-01-07,Diesel Engine Start Failure,Engine,Battery bank degradation below starting threshold,"Replace battery bank, add trickle charger monitoring",Major,Control Room Alarm,0,8,8,94.09,26631.74,Partially,WO-3284298
FL-5115,EM-002,Compressor Drive Motor,Electric Motor,2024-01-11,Winding Insulation Failure,Stator,Moisture ingress degraded insulation resistance,"Rewind stator, improve enclosure sealing",Moderate,Performance Deviation,0,168,168,0.0,8775.0,No,WO-3768739
FL-5124,CV-002,Compressor Anti-Surge Valve,Control Valve,2024-01-25,Trim Erosion,Trim,High-velocity flow with entrained sand particles,"Replace trim with tungsten carbide, add desander",Moderate,Control Room Alarm,24,8,32,0.0,35968.89,No,WO-3012232
FL-5021,CP-004,Seawater Lift Pump,Centrifugal Pump,2024-02-02,Bearing Failure,Bearing,Lubrication starvation from blocked oil line,"Replace bearing, flush lube oil system",Moderate,Vibration Monitoring,2,8,10,0.0,71716.4,Yes,WO-3714808
FL-5098,GT-002,Power Gen Turbine B,Gas Turbine,2024-02-19,Exhaust Temp Spread High,Combustor,Uneven fuel distribution across combustion cans,"Balance fuel nozzle flow, replace worn nozzles",Major,Operator Round,0,16,16,315.23,3793.06,No,WO-3910953
FL-5095,GT-002,Power Gen Turbine B,Gas Turbine,2024-03-17,Exhaust Temp Spread High,Combustor,Uneven fuel distribution across combustion cans,"Balance fuel nozzle flow, replace worn nozzles",Moderate,Vibration Monitoring,0,48,48,0.0,45673.83,Partially,WO-3226365
FL-5028,GC-001,Export Gas Compressor,Gas Compressor,2024-03-30,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Moderate,Operator Round,0,48,48,0.0,31257.15,Partially,WO-3851748
FL-5039,GC-002,Booster Compressor A,Gas Compressor,2024-04-17,Piston Ring Wear,Piston,Normal wear exceeding clearance limits after extended run,"Replace piston rings, verify cylinder liner condition",Major,Visual Inspection,0,4,4,18.51,25616.83,Yes,WO-3237447
FL-5035,GC-002,Booster Compressor A,Gas Compressor,2024-04-21,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Critical,Visual Inspection,8,12,20,138.42,110118.14,Partially,WO-3005240
FL-5062,HX-003,Produced Water Cooler,Heat Exchanger,2024-05-10,Tube Leak,Tubes,Galvanic corrosion between dissimilar metals,"Plug leaking tubes, plan tube bundle replacement",Major,Performance Deviation,0,16,16,101.21,79801.16,No,WO-3110857
FL-5114,EM-002,Compressor Drive Motor,Electric Motor,2024-05-12,VFD Fault,VFD,Power supply harmonic distortion exceeded VFD tolerance,"Install line reactor, upgrade VFD firmware",Major,Thermography,0,48,48,663.57,55796.15,No,WO-3313011
FL-5093,GT-001,Power Gen Turbine A,Gas Turbine,2024-05-28,Turbine Blade Fouling,Blades,Salt deposits from ambient air ingestion,Online wash + offline compressor wash,Critical,Visual Inspection,0,8,8,93.03,126360.52,Yes,WO-3967594
FL-5106,EM-001,Pump Drive Motor A,Electric Motor,2024-06-01,Bearing Failure,Bearing,Grease over-lubrication caused overheating,"Replace bearing, retrain lubrication personnel",Minor,Scheduled Inspection,0,8,8,0.0,12789.56,Yes,WO-3678416
FL-5111,EM-002,Compressor Drive Motor,Electric Motor,2024-06-05,VFD Fault,VFD,Power supply harmonic distortion exceeded VFD tolerance,"Install line reactor, upgrade VFD firmware",Minor,Operator Round,0,8,8,0.0,23531.73,Partially,WO-3887291
FL-5076,SP-002,2nd Stage Separator,Three-Phase Separator,2024-06-08,Pressure Relief Valve Lift,PRV,Downstream restriction caused overpressure condition,"Clear restriction, recertify PRV",Moderate,Scheduled Inspection,0,12,12,0.0,65786.47,No,WO-3370484
FL-5107,EM-001,Pump Drive Motor A,Electric Motor,2024-06-11,VFD Fault,VFD,Power supply harmonic distortion exceeded VFD tolerance,"Install line reactor, upgrade VFD firmware",Moderate,Visual Inspection,0,12,12,0.0,66071.61,Partially,WO-3017623
FL-5119,CV-001,Separator Level Control Valve,Control Valve,2024-07-07,Actuator Diaphragm Failure,Actuator,Diaphragm material degraded from chemical exposure,"Replace diaphragm, upgrade to chemical-resistant material",Minor,Thermography,0,16,16,0.0,69216.12,No,WO-3873956
FL-5017,CP-003,Water Injection Pump,Centrifugal Pump,2024-07-12,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in fluid,"Replace seal assembly, install strainer upstream",Moderate,Vibration Monitoring,0,8,8,0.0,47427.91,No,WO-3024129
FL-5007,CP-001,Crude Transfer Pump A,Centrifugal Pump,2024-07-18,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Minor,Visual Inspection,0,24,24,0.0,18511.32,Partially,WO-3913001
FL-5066,SP-001,1st Stage Separator,Three-Phase Separator,2024-07-21,Weir Plate Corrosion,Internals,H2S corrosion on carbon steel weir plates,Replace with duplex stainless steel weir plates,Moderate,Scheduled Inspection,0,72,72,0.0,15297.54,Partially,WO-3907705
FL-5047,HX-001,Crude-Crude Heat Exchanger,Heat Exchanger,2024-07-24,Fouling - Shell Side,Shell,Scale buildup from untreated seawater,"Chemical cleaning, improve water treatment",Moderate,Thermography,0,24,24,0.0,65508.44,Yes,WO-3326334
FL-5086,GT-001,Power Gen Turbine A,Gas Turbine,2024-07-27,Fuel Nozzle Blockage,Fuel System,Particulate contamination in fuel gas supply,"Clean nozzles, upgrade fuel gas filtration",Minor,Vibration Monitoring,0,4,4,0.0,78203.63,Yes,WO-3022588
FL-5069,SP-001,1st Stage Separator,Three-Phase Separator,2024-07-27,Weir Plate Corrosion,Internals,H2S corrosion on carbon steel weir plates,Replace with duplex stainless steel weir plates,Moderate,Control Room Alarm,24,8,32,0.0,26306.71,No,WO-3889934
FL-5122,CV-002,Compressor Anti-Surge Valve,Control Valve,2024-08-02,Positioner Calibration Drift,Positioner,Electronic positioner board component aging,"Recalibrate positioner, schedule replacement",Critical,Thermography,0,8,8,54.51,143048.81,No,WO-3924968
FL-5046,GC-003,Vapor Recovery Compressor,Gas Compressor,2024-08-04,Bearing Degradation,Bearing,Contaminated lube oil caused accelerated wear,"Replace bearing, upgrade oil filtration",Major,Thermography,2,16,18,324.27,82267.21,Partially,WO-3344284
FL-5034,GC-002,Booster Compressor A,Gas Compressor,2024-08-07,Bearing Degradation,Bearing,Contaminated lube oil caused accelerated wear,"Replace bearing, upgrade oil filtration",Critical,Thermography,4,24,28,288.04,21171.38,No,WO-3998363
FL-5074,SP-002,2nd Stage Separator,Three-Phase Separator,2024-08-23,Level Control Failure,Instruments,Level transmitter drift from emulsion buildup on sensor,"Clean/replace transmitter, add chemical injection",Moderate,Scheduled Inspection,8,8,16,0.0,28130.91,No,WO-3631377
FL-5004,CP-001,Crude Transfer Pump A,Centrifugal Pump,2024-08-28,Coupling Misalignment,Coupling,Thermal growth exceeded alignment tolerance,"Re-align coupling, install expansion compensation",Moderate,Operator Round,2,4,6,0.0,25614.93,Yes,WO-3550316
FL-5118,CV-001,Separator Level Control Valve,Control Valve,2024-08-30,Trim Erosion,Trim,High-velocity flow with entrained sand particles,"Replace trim with tungsten carbide, add desander",Moderate,Vibration Monitoring,4,24,28,0.0,74941.48,No,WO-3576699
FL-5056,HX-002,Gas Cooler,Heat Exchanger,2024-09-01,Tube Leak,Tubes,Galvanic corrosion between dissimilar metals,"Plug leaking tubes, plan tube bundle replacement",Moderate,Thermography,0,16,16,0.0,72505.93,Yes,WO-3900825
FL-5085,SP-003,Test Separator,Three-Phase Separator,2024-09-01,Weir Plate Corrosion,Internals,H2S corrosion on carbon steel weir plates,Replace with duplex stainless steel weir plates,Major,Oil Analysis,48,168,216,3107.37,13291.42,Yes,WO-3397143
FL-5040,GC-002,Booster Compressor A,Gas Compressor,2024-09-06,Valve Plate Failure,Valve,Fatigue cracking from pulsation-induced stress,"Replace valve plates, install pulsation dampener",Moderate,Oil Analysis,0,24,24,0.0,81231.8,Partially,WO-3950359
FL-5064,HX-003,Produced Water Cooler,Heat Exchanger,2024-09-17,Tube Leak,Tubes,Galvanic corrosion between dissimilar metals,"Plug leaking tubes, plan tube bundle replacement",Major,Operator Round,0,48,48,195.25,13824.22,Partially,WO-3396133
FL-5078,SP-002,2nd Stage Separator,Three-Phase Separator,2024-09-22,Weir Plate Corrosion,Internals,H2S corrosion on carbon steel weir plates,Replace with duplex stainless steel weir plates,Moderate,Vibration Monitoring,0,16,16,0.0,47507.0,Partially,WO-3035406
FL-5032,GC-002,Booster Compressor A,Gas Compressor,2024-10-09,Seal Gas System Failure,Seal System,Instrument air supply pressure drop below minimum,"Repair air compressor, add backup supply",Major,Operator Round,0,4,4,75.86,20854.53,Partially,WO-3413178
FL-5055,HX-002,Gas Cooler,Heat Exchanger,2024-10-27,Fouling - Shell Side,Shell,Scale buildup from untreated seawater,"Chemical cleaning, improve water treatment",Moderate,Vibration Monitoring,4,8,12,0.0,34706.37,Yes,WO-3597537
FL-5116,CV-001,Separator Level Control Valve,Control Valve,2024-11-15,Positioner Calibration Drift,Positioner,Electronic positioner board component aging,"Recalibrate positioner, schedule replacement",Moderate,Scheduled Inspection,2,72,74,0.0,56553.82,No,WO-3188925
FL-5130,FP-001,Fire Water Pump,Fire Water Pump,2024-11-20,Diesel Engine Start Failure,Engine,Battery bank degradation below starting threshold,"Replace battery bank, add trickle charger monitoring",Critical,Operator Round,0,16,16,149.42,184521.65,Yes,WO-3570308
FL-5101,EM-001,Pump Drive Motor A,Electric Motor,2024-11-20,Bearing Failure,Bearing,Grease over-lubrication caused overheating,"Replace bearing, retrain lubrication personnel",Moderate,Operator Round,8,48,56,0.0,63355.62,Partially,WO-3232671
FL-5006,CP-001,Crude Transfer Pump A,Centrifugal Pump,2024-12-01,Mechanical Seal Failure,Seal,Worn seal faces due to abrasive particles in fluid,"Replace seal assembly, install strainer upstream",Critical,Vibration Monitoring,0,8,8,74.26,178039.31,Yes,WO-3050626
FL-5041,GC-003,Vapor Recovery Compressor,Gas Compressor,2024-12-10,Bearing Degradation,Bearing,Contaminated lube oil caused accelerated wear,"Replace bearing, upgrade oil filtration",Minor,Scheduled Inspection,0,12,12,0.0,53243.66,Yes,WO-3217720
